index,Rooms,Type,Price,Postcode,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,index,zipcode,airbnb price mean,airbnb record count,airbnb weekly price_mean,airbnb monthly price mean,Price_log
11,3,h,1350000.0,3067.0,190.0,2005.0,-37.8085,144.9964,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.1303337684950066
12,2,u,750000.0,3067.0,94.0,2009.0,-37.8078,144.9965,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.8750612633917
13,2,h,1172500.0,3067.0,,,-37.8084,144.9973,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.069112851387121
14,1,u,441000.0,3067.0,,,-37.8016,144.9988,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.644438589467838
15,2,h,1310000.0,3067.0,97.0,1890.0,-37.809,144.9976,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.117271295655764
16,3,h,1200000.0,3067.0,110.0,1880.0,-37.8056,144.993,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.079181246047625
17,3,h,1176500.0,3067.0,105.0,1890.0,-37.8021,144.9965,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.07059193151204
18,3,h,955000.0,3067.0,,,-37.8022,144.9975,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.980003371583746
19,2,h,890000.0,3067.0,73.0,1985.0,-37.8011,145.0004,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.949390006644912
20,4,h,1330000.0,3067.0,135.0,1900.0,-37.8073,144.9952,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.123851640967086
21,3,t,900000.0,3067.0,,2010.0,-37.8093,144.9959,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.954242509439325
22,3,u,1090000.0,3067.0,27.0,,-37.8078,144.9965,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.037426497940624
23,2,u,500000.0,3067.0,60.0,1970.0,-37.8015,144.9972,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.698970004336019
24,2,h,1100000.0,3067.0,135.0,2013.0,-37.8079,144.9977,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.041392685158225
25,2,h,1315000.0,3067.0,85.0,1900.0,-37.808,144.994,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.118925752825777
26,1,u,426000.0,3067.0,,,-37.8016,144.9988,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.629409599102719
27,3,h,1447500.0,3067.0,174.0,2012.0,-37.8017,145.0001,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.160618572399474
28,1,u,457000.0,3067.0,50.0,,-37.8078,144.9965,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.65991620006985
29,2,h,1135000.0,3067.0,128.0,1920.0,-37.8005,144.9952,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.054995861529141
30,4,h,1542000.0,3067.0,,,-37.7994,144.9965,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.188084373714938
31,3,h,1290000.0,3067.0,18.0,,-37.805,144.9943,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.110589710299249
32,3,h,1290000.0,3067.0,124.0,1950.0,-37.8007,144.9958,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.110589710299249
33,1,u,470000.0,3067.0,50.0,2013.0,-37.8055,144.9961,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.672097857935717
34,2,h,1180000.0,3067.0,91.0,1900.0,-37.8016,144.9956,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.071882007306125
35,3,h,1195000.0,3067.0,128.0,1998.0,-37.8022,144.9954,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.077367905284157
36,2,h,1012500.0,3067.0,82.0,1900.0,-37.8021,144.9976,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.005395031886706
37,2,h,1030000.0,3067.0,81.0,1930.0,-37.8086,144.9946,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.012837224705172
38,3,t,840000.0,3042.0,225.0,2016.0,-37.718,144.878,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.924279286061882
39,3,h,730000.0,3042.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.863322860120456
40,3,h,770000.0,3042.0,145.0,1965.0,-37.7203,144.8755,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.886490725172482
41,2,h,603000.0,3042.0,84.0,1950.0,-37.7294,144.888,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.780317312140151
42,3,t,700000.0,3042.0,134.0,2009.0,-37.7218,144.8837,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.845098040014257
43,3,h,600000.0,3042.0,116.0,1980.0,-37.7273,144.8744,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.778151250383644
44,2,u,500000.0,3042.0,86.0,2011.0,-37.7215,144.8864,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.698970004336019
45,3,h,720000.0,3042.0,,,-37.7173,144.8872,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.857332496431268
46,4,h,785000.0,3042.0,127.0,,-37.7259,144.8792,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.894869656745253
48,2,t,450000.0,3042.0,90.0,2015.0,-37.7216,144.871,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.653212513775344
49,2,u,515000.0,3042.0,73.0,2013.0,-37.7298,144.8883,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.711807229041191
50,2,u,530000.0,3042.0,94.0,2012.0,-37.7234,144.8792,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.724275869600789
51,3,h,895000.0,3042.0,133.0,1975.0,-37.7249,144.8728,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.951823035315912
52,3,h,805000.0,3042.0,105.0,1950.0,-37.7217,144.8783,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.905795880367869
53,3,u,752000.0,3042.0,130.0,1993.0,-37.7302,144.8855,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.876217840591642
54,2,u,440000.0,3042.0,,,-37.7177,144.8787,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.643452676486188
56,3,t,700000.0,3042.0,133.0,2009.0,-37.727,144.887,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.845098040014257
57,3,h,830000.0,3042.0,113.0,1960.0,-37.7186,144.876,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.919078092376074
58,2,u,462500.0,3042.0,,2003.0,-37.7218,144.8863,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.665111737075051
59,3,h,670000.0,3042.0,,,-37.7269,144.8742,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.826074802700826
60,2,h,675000.0,3042.0,100.0,1975.0,-37.7187,144.8765,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.829303772831025
61,3,h,1042000.0,3042.0,174.0,1950.0,-37.7173,144.8796,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,6.0178677189635055
62,3,h,910000.0,3042.0,,,-37.7231,144.8835,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.959041392321094
63,4,h,773000.0,3042.0,309.0,1980.0,-37.7263,144.8679,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.888179493918325
64,3,h,810000.0,3042.0,192.0,1980.0,-37.7285,144.8694,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.9084850188786495
65,3,h,715000.0,3042.0,126.0,1995.0,-37.7164,144.8792,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.854306041801081
66,3,h,790000.0,3042.0,,,-37.7194,144.8827,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.897627091290442
67,3,t,540000.0,3042.0,101.0,2010.0,-37.7231,144.8802,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.732393759822968
68,3,t,825000.0,3042.0,102.0,1960.0,-37.72,144.8776,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.9164539485499255
69,3,h,685000.0,3042.0,113.0,1975.0,-37.7226,144.8733,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.835690571492425
70,3,h,805000.0,3042.0,,,-37.7184,144.882,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.905795880367869
71,2,u,510000.0,3042.0,76.0,,-37.7202,144.8797,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.707570176097937
72,3,h,612000.0,3042.0,,,-37.7181,144.8824,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.786751422145561
73,3,h,662000.0,3042.0,,,-37.7169,144.8815,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.8208579894397
74,4,h,978000.0,3042.0,,,-37.7263,144.869,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.990338854787601
75,3,h,720000.0,3042.0,,,-37.72,144.878,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.857332496431268
76,4,h,765000.0,3042.0,,,-37.7261,144.8785,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.883661435153617
77,4,h,900000.0,3042.0,146.0,1975.0,-37.7256,144.8739,Western Metropolitan,36.0,3042.0,81.57142857142857,35.0,568.2,1800.75,5.954242509439325
78,2,h,1275000.0,3206.0,82.0,1900.0,-37.8459,144.9555,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.105510184769974
79,2,h,1455000.0,3206.0,,,-37.845,144.9538,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.162862993321926
80,3,h,2850000.0,3206.0,198.0,1890.0,-37.8481,144.9499,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.45484486000851
81,3,h,1850000.0,3206.0,133.0,1890.0,-37.8452,144.9488,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.267171728403014
82,2,h,1436000.0,3206.0,81.0,1900.0,-37.8431,144.9565,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.157154439906281
83,2,h,1110000.0,3206.0,,1900.0,-37.8444,144.9484,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.045322978786658
84,2,h,1550000.0,3206.0,,,-37.8405,144.9521,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.190331698170292
85,4,h,2300000.0,3206.0,180.0,1880.0,-37.8447,144.9523,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.361727836017593
86,3,t,1550000.0,3206.0,,,-37.8443,144.9598,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.190331698170292
87,3,h,1800000.0,3206.0,159.0,1996.0,-37.8415,144.952,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.2552725051033065
88,2,h,2120000.0,3206.0,107.0,1900.0,-37.8422,144.9554,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.326335860928752
89,3,h,1800000.0,3206.0,,,-37.8443,144.9579,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.2552725051033065
90,3,h,1800000.0,3206.0,122.0,1900.0,-37.8421,144.9571,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.2552725051033065
91,2,h,1810000.0,3206.0,,,-37.8379,144.9539,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.2576785748691846
92,3,h,2615000.0,3206.0,181.0,1880.0,-37.8415,144.9585,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.417471693203293
94,3,h,1300000.0,3206.0,,,-37.8422,144.94899999999996,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.113943352306837
95,3,h,1370000.0,3206.0,85.0,2000.0,-37.8451,144.9511,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.136720567156407
96,2,h,1000000.0,3206.0,,,-37.8407,144.9523,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.0
97,3,h,2575000.0,3206.0,,,-37.8445,144.9501,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.4107772333772095
98,2,h,1322500.0,3206.0,98.0,1890.0,-37.8443,144.9481,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.121395680707224
99,2,h,1562500.0,3206.0,83.0,1890.0,-37.8424,144.9562,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.1938200260161125
100,3,h,2000000.0,3206.0,147.0,1900.0,-37.847,144.9575,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.301029995663981
101,3,h,1900000.0,3206.0,,1900.0,-37.8468,144.9546,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.278753600952829
102,3,h,3010000.0,3206.0,146.0,1890.0,-37.8473,144.9551,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.478566495593843
103,4,h,2800000.0,3206.0,254.0,1910.0,-37.8467,144.9475,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.447158031342219
104,2,u,647000.0,3206.0,,,-37.846,144.9542,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,5.810904280668701
105,3,h,2100000.0,3206.0,123.0,1900.0,-37.8427,144.9546,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.3222192947339195
106,3,h,2000000.0,3206.0,131.0,1890.0,-37.8461,144.9528,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.301029995663981
107,1,u,442500.0,3206.0,34.0,1970.0,-37.8421,144.9517,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,5.645913275033844
109,2,h,1340000.0,3206.0,,,-37.846,144.9517,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.127104798364807
110,3,h,1801000.0,3206.0,,,-37.8429,144.9493,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.255513712819534
111,3,h,1532000.0,3206.0,,,-37.8415,144.9585,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.185258765296585
112,3,h,3755000.0,3206.0,,,-37.8413,144.95,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.574609941340187
113,4,h,2140000.0,3206.0,145.0,1880.0,-37.8434,144.9495,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.330413773349191
114,2,h,1750000.0,3206.0,,,-37.8416,144.9488,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.243038048686294
115,2,h,980000.0,3206.0,68.0,1890.0,-37.8387,144.9519,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,5.991226075692495
116,3,h,2030000.0,3206.0,,,-37.8488,144.9551,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.307496037913213
117,3,h,1740000.0,3206.0,134.0,1890.0,-37.8448,144.9453,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.2405492482825995
118,3,h,2800000.0,3206.0,,,-37.8399,144.9577,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,6.447158031342219
119,1,h,985000.0,3206.0,54.0,1900.0,-37.8411,144.9497,Southern Metropolitan,177.0,3206.0,229.41803278688525,122.0,1187.4,3734.0,5.993436230497612
120,4,h,2000000.0,3078.0,263.0,1930.0,-37.7707,145.0318,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.301029995663981
121,3,h,1110000.0,3078.0,,2013.0,-37.7854,145.0325,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.045322978786658
122,3,h,1492000.0,3078.0,,,-37.7713,145.0279,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.17376882313665
123,4,h,1717500.0,3078.0,203.0,1925.0,-37.7717,145.031,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.234896745731588
125,2,u,525500.0,3078.0,60.0,1960.0,-37.7791,145.0306,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.720572720364261
126,2,t,805000.0,3078.0,140.0,2004.0,-37.7804,145.0308,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.905795880367869
127,2,u,465000.0,3078.0,,,-37.7773,145.0314,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.6674529528899535
128,3,h,2000000.0,3078.0,,,-37.78,145.0341,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.301029995663981
129,3,h,1540000.0,3078.0,,,-37.7755,145.0288,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.187520720836463
130,2,u,820000.0,3078.0,,,-37.7747,145.0264,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.913813852383717
131,4,h,1830000.0,3078.0,112.0,1970.0,-37.7743,145.0316,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.26245108973043
132,4,h,2100000.0,3078.0,271.0,2008.0,-37.7723,145.0319,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.3222192947339195
133,3,h,865000.0,3078.0,131.0,2010.0,-37.7802,145.0243,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.937016107464814
134,2,u,390000.0,3078.0,60.0,1960.0,-37.7773,145.0314,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.5910646070264995
135,2,t,650000.0,3078.0,,,-37.7848,145.025,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.812913356642856
136,2,u,512000.0,3078.0,61.0,1965.0,-37.7805,145.0262,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,5.70926996097583
137,3,h,1165000.0,3078.0,,,-37.7792,145.029,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.066325925362038
138,4,h,1900000.0,3078.0,272.0,1930.0,-37.7844,145.0225,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.278753600952829
139,3,h,1485000.0,3078.0,,,-37.7781,145.0284,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.171726453653231
140,4,h,1950000.0,3078.0,210.0,1920.0,-37.7719,145.0309,Northern Metropolitan,66.0,3078.0,111.20270270270271,74.0,605.0,2233.875,6.290034611362518
141,3,h,520000.0,3018.0,242.0,2015.0,-37.87,144.825,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.7160033436347994
143,2,t,720000.0,3018.0,125.0,2013.0,-37.8687,144.8197,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.857332496431268
144,3,h,1120000.0,3018.0,120.0,1930.0,-37.8693,144.8375,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,6.049218022670182
145,4,h,780000.0,3018.0,,,-37.868,144.8154,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.892094602690481
146,4,h,1780000.0,3018.0,220.0,1962.0,-37.8681,144.819,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,6.250420002308894
147,3,u,630000.0,3018.0,94.0,1955.0,-37.8702,144.8143,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.799340549453582
148,2,u,406000.0,3018.0,,,-37.8693,144.8171,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.608526033577194
149,3,h,660000.0,3018.0,123.0,1955.0,-37.8616,144.8116,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.819543935541868
150,3,h,683500.0,3018.0,,,-37.8594,144.817,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.834738518903841
151,2,u,580000.0,3018.0,93.0,1988.0,-37.8696,144.827,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.763427993562937
152,3,h,1335000.0,3018.0,22.0,1953.0,-37.8697,144.8249,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,6.125481265700594
153,3,t,800000.0,3018.0,,1997.0,-37.8734,144.8143,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.903089986991944
154,2,u,510000.0,3018.0,76.0,1990.0,-37.8686,144.8182,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.707570176097937
155,4,h,1070000.0,3018.0,,,-37.8733,144.8147,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,6.02938377768521
156,2,u,425000.0,3018.0,57.0,1980.0,-37.871,144.8185,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.628388930050312
157,3,u,605000.0,3018.0,,,-37.8646,144.827,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.781755374652469
158,3,t,705000.0,3018.0,152.0,,-37.8579,144.8181,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.848189116991398
159,2,u,391000.0,3018.0,65.0,1965.0,-37.8678,144.8384,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.592176757395867
160,2,u,440000.0,3018.0,,,-37.8659,144.83100000000005,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.643452676486188
161,4,h,845000.0,3018.0,130.0,1950.0,-37.8658,144.8155,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.926856708949693
162,3,t,743000.0,3018.0,176.0,,-37.8698,144.816,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.870988813760575
163,3,u,730000.0,3018.0,141.0,2014.0,-37.868,144.8286,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.863322860120456
164,3,h,635000.0,3018.0,,1960.0,-37.8611,144.8114,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.802773725291976
165,2,u,620000.0,3018.0,,,-37.8676,144.8202,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.7923916894982534
166,2,u,447000.0,3018.0,77.0,1990.0,-37.8655,144.8299,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.650307523131937
167,3,u,730000.0,3018.0,,,-37.868,144.8287,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.863322860120456
168,3,h,678000.0,3018.0,87.0,1950.0,-37.8608,144.8124,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.831229693867064
169,2,u,580000.0,3018.0,76.0,2013.0,-37.8687,144.8268,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.763427993562937
170,3,h,712000.0,3018.0,,,-37.8674,144.8375,Western Metropolitan,15.0,3018.0,85.62162162162163,37.0,732.5,1550.5,5.852479993636856
